"","socdist","ope","pers_o","con","pers_c","ext","pers_e","agr","pers_a","neu","pers_n","age.x","age.y","gender","male","conservative","educ","academics","income","medinc","manufact","airport_dist","tourism","healthcare","hhmember","popdens","days","rate_day"
"socdist",1,0.054,0.087,0.069,-0.083,-0.01,-0.033,0.065,-0.094,-0.008,0.038,-0.072,-0.003,0.054,0.003,-0.093,0.063,0.101,0.036,0.102,-0.039,-0.05,-0.013,0.069,-0.012,0.08,0.052,0.031
"ope",0.054,1,0.042,0.059,0,0.275,-0.014,0.164,-0.007,-0.143,-0.011,-0.088,0.006,0.049,0.023,-0.016,0.019,-0.007,-0.01,-0.007,-0.025,0.009,0.042,-0.004,-0.037,0.008,0.036,0.007
"pers_o",0.087,0.042,1,-0.022,-0.153,0.039,-0.045,-0.031,-0.482,-0.001,-0.263,0.066,-0.223,-0.025,-0.071,-0.768,0.017,0.56,0.062,0.31,-0.584,-0.364,0.267,0.391,-0.059,0.65,-0.023,0.06
"con",0.069,0.059,-0.022,1,0.037,0.07,0.029,0.148,0.036,-0.27,-0.028,-0.127,0.021,0.099,-0.005,0.039,0.016,-0.015,0.048,-0.001,0.002,0.012,0.005,-0.026,0,-0.03,0.004,-0.003
"pers_c",-0.083,0,-0.153,0.037,1,0.013,0.293,0.028,0.6,-0.015,-0.512,-0.033,-0.113,0.029,-0.292,0.177,-0.023,-0.221,-0.066,-0.433,-0.026,-0.001,0.123,-0.26,-0.01,-0.172,0.017,-0.065
"ext",-0.01,0.275,0.039,0.07,0.013,1,0.035,0.056,0.002,-0.108,-0.02,-0.035,-0.001,0.058,-0.019,-0.024,0,0.014,0.046,0.014,-0.037,-0.031,0.01,0.002,0.051,0.021,0.061,0.044
"pers_e",-0.033,-0.014,-0.045,0.029,0.293,0.035,1,-0.003,0.248,-0.017,-0.331,0.006,-0.181,-0.024,-0.226,0.023,-0.007,0.125,-0.014,-0.009,-0.1,-0.162,-0.022,0.01,-0.007,0.147,-0.008,0.042
"agr",0.065,0.164,-0.031,0.148,0.028,0.056,-0.003,1,0.044,-0.245,-0.017,-0.178,0.02,0.201,-0.003,0.042,0.018,-0.036,-0.021,-0.01,0.01,0.027,0.007,-0.037,-0.008,-0.048,0.038,-0.005
"pers_a",-0.094,-0.007,-0.482,0.036,0.6,0.002,0.248,0.044,1,-0.015,-0.378,-0.064,0.068,0.016,-0.168,0.434,-0.034,-0.44,-0.071,-0.404,0.327,0.176,0.011,-0.337,0.033,-0.509,0.013,-0.072
"neu",-0.008,-0.143,-0.001,-0.27,-0.015,-0.108,-0.017,-0.245,-0.015,1,0.031,0.24,-0.022,0.173,-0.02,-0.03,-0.019,0.005,-0.049,-0.014,0.018,-0.014,-0.021,0.022,-0.03,0.022,-0.009,-0.017
"pers_n",0.038,-0.011,-0.263,-0.028,-0.512,-0.02,-0.331,-0.017,-0.378,0.031,1,0,0.279,0.014,0.059,0.086,0.022,-0.211,0.008,-0.011,0.245,0.119,-0.213,0.109,-0.012,0.087,-0.001,0.063
"age.x",-0.072,-0.088,0.066,-0.127,-0.033,-0.035,0.006,-0.178,-0.064,0.24,0,1,-0.129,-0.032,-0.03,-0.122,-0.086,0.062,-0.028,-0.007,-0.018,-0.077,0.013,0.059,0.002,0.104,-0.008,0.005
"age.y",-0.003,0.006,-0.223,0.021,-0.113,-0.001,-0.181,0.02,0.068,-0.022,0.279,-0.129,1,0.006,0.038,0.302,-0.011,-0.213,0.004,0.102,0.191,0.228,-0.155,-0.104,0.025,-0.296,-0.015,-0.009
"gender",0.054,0.049,-0.025,0.099,0.029,0.058,-0.024,0.201,0.016,0.173,0.014,-0.032,0.006,1,-0.006,0.027,-0.01,-0.036,-0.045,-0.022,0.006,0.022,0.007,-0.019,-0.044,-0.019,0.062,0.011
"male",0.003,0.023,-0.071,-0.005,-0.292,-0.019,-0.226,-0.003,-0.168,-0.02,0.059,-0.03,0.038,-0.006,1,0.286,-0.015,-0.039,0.035,0.261,0.223,0.248,0.071,-0.148,0.012,-0.116,0.022,-0.065
"conservative",-0.093,-0.016,-0.768,0.039,0.177,-0.024,0.023,0.042,0.434,-0.03,0.086,-0.122,0.302,0.027,0.286,1,-0.025,-0.535,-0.046,-0.208,0.495,0.385,-0.126,-0.482,0.088,-0.678,0.032,-0.091
"educ",0.063,0.019,0.017,0.016,-0.023,0,-0.007,0.018,-0.034,-0.019,0.022,-0.086,-0.011,-0.01,-0.015,-0.025,1,0.033,0.004,0.023,-0.016,-0.019,-0.014,0.017,-0.041,0.028,-0.015,-0.001
"academics",0.101,-0.007,0.56,-0.015,-0.221,0.014,0.125,-0.036,-0.44,0.005,-0.211,0.062,-0.213,-0.036,-0.039,-0.535,0.033,1,0.068,0.732,-0.485,-0.31,-0.127,0.617,-0.016,0.452,-0.023,0.069
"income",0.036,-0.01,0.062,0.048,-0.066,0.046,-0.014,-0.021,-0.071,-0.049,0.008,-0.028,0.004,-0.045,0.035,-0.046,0.004,0.068,1,0.101,-0.029,-0.033,-0.026,0.033,0.165,0.059,-0.005,0
"medinc",0.102,-0.007,0.31,-0.001,-0.433,0.014,-0.009,-0.01,-0.404,-0.014,-0.011,-0.007,0.102,-0.022,0.261,-0.208,0.023,0.732,0.101,1,-0.197,-0.216,-0.334,0.349,0.039,0.25,-0.015,0.076
"manufact",-0.039,-0.025,-0.584,0.002,-0.026,-0.037,-0.1,0.01,0.327,0.018,0.245,-0.018,0.191,0.006,0.223,0.495,-0.016,-0.485,-0.029,-0.197,1,0.17,-0.224,-0.317,0.03,-0.454,-0.002,-0.094
"airport_dist",-0.05,0.009,-0.364,0.012,-0.001,-0.031,-0.162,0.027,0.176,-0.014,0.119,-0.077,0.228,0.022,0.248,0.385,-0.019,-0.31,-0.033,-0.216,0.17,1,0.026,-0.177,0.002,-0.386,0.025,-0.058
"tourism",-0.013,0.042,0.267,0.005,0.123,0.01,-0.022,0.007,0.011,-0.021,-0.213,0.013,-0.155,0.007,0.071,-0.126,-0.014,-0.127,-0.026,-0.334,-0.224,0.026,1,0.056,-0.034,0.115,0.006,-0.041
"healthcare",0.069,-0.004,0.391,-0.026,-0.26,0.002,0.01,-0.037,-0.337,0.022,0.109,0.059,-0.104,-0.019,-0.148,-0.482,0.017,0.617,0.033,0.349,-0.317,-0.177,0.056,1,-0.013,0.438,-0.038,0.084
"hhmember",-0.012,-0.037,-0.059,0,-0.01,0.051,-0.007,-0.008,0.033,-0.03,-0.012,0.002,0.025,-0.044,0.012,0.088,-0.041,-0.016,0.165,0.039,0.03,0.002,-0.034,-0.013,1,-0.074,0.037,0.011
